Date,RIFSPFF_N.WW,RIFSPBLP_N.WW,RIFSRP_F02_N.WW,trade_date
2000/1/5,4.72,8.5,,20000105
2000/1/6,4.72,8.5,,20000106
2000/1/7,4.72,8.5,,20000107
2000/1/8,4.72,8.5,,20000108
2000/1/9,4.72,8.5,,20000109
2000/1/10,4.72,8.5,,20000110
2000/1/11,4.72,8.5,,20000111
2000/1/12,5.62,8.5,,20000112
2000/1/13,5.62,8.5,,20000113
2000/1/14,5.62,8.5,,20000114
2000/1/15,5.62,8.5,,20000115
2000/1/16,5.62,8.5,,20000116
2000/1/17,5.62,8.5,,20000117
2000/1/18,5.62,8.5,,20000118
2000/1/19,5.59,8.5,,20000119
2000/1/20,5.59,8.5,,20000120
2000/1/21,5.59,8.5,,20000121
2000/1/22,5.59,8.5,,20000122
2000/1/23,5.59,8.5,,20000123
2000/1/24,5.59,8.5,,20000124
2000/1/25,5.59,8.5,,20000125
2000/1/26,5.43,8.5,,20000126
2000/1/27,5.43,8.5,,20000127
2000/1/28,5.43,8.5,,20000128
2000/1/29,5.43,8.5,,20000129
2000/1/30,5.43,8.5,,20000130
2000/1/31,5.43,8.5,,20000131
2000/2/1,5.43,8.5,,20000201
2000/2/2,5.66,8.5,,20000202
2000/2/3,5.66,8.5,,20000203
2000/2/4,5.66,8.5,,20000204
2000/2/5,5.66,8.5,,20000205
2000/2/6,5.66,8.5,,20000206
2000/2/7,5.66,8.5,,20000207
2000/2/8,5.66,8.5,,20000208
2000/2/9,5.71,8.75,,20000209
2000/2/10,5.71,8.75,,20000210
2000/2/11,5.71,8.75,,20000211
2000/2/12,5.71,8.75,,20000212
2000/2/13,5.71,8.75,,20000213
2000/2/14,5.71,8.75,,20000214
2000/2/15,5.71,8.75,,20000215
2000/2/16,5.75,8.75,,20000216
2000/2/17,5.75,8.75,,20000217
2000/2/18,5.75,8.75,,20000218
2000/2/19,5.75,8.75,,20000219
2000/2/20,5.75,8.75,,20000220
2000/2/21,5.75,8.75,,20000221
2000/2/22,5.75,8.75,,20000222
2000/2/23,5.72,8.75,,20000223
2000/2/24,5.72,8.75,,20000224
2000/2/25,5.72,8.75,,20000225
2000/2/26,5.72,8.75,,20000226
2000/2/27,5.72,8.75,,20000227
2000/2/28,5.72,8.75,,20000228
2000/2/29,5.72,8.75,,20000229
2000/3/1,5.77,8.75,,20000301
2000/3/2,5.77,8.75,,20000302
2000/3/3,5.77,8.75,,20000303
2000/3/4,5.77,8.75,,20000304
2000/3/5,5.77,8.75,,20000305
2000/3/6,5.77,8.75,,20000306
2000/3/7,5.77,8.75,,20000307
2000/3/8,5.73,8.75,,20000308
2000/3/9,5.73,8.75,,20000309
2000/3/10,5.73,8.75,,20000310
2000/3/11,5.73,8.75,,20000311
2000/3/12,5.73,8.75,,20000312
2000/3/13,5.73,8.75,,20000313
2000/3/14,5.73,8.75,,20000314
2000/3/15,5.79,8.75,,20000315
2000/3/16,5.79,8.75,,20000316
2000/3/17,5.79,8.75,,20000317
2000/3/18,5.79,8.75,,20000318
2000/3/19,5.79,8.75,,20000319
2000/3/20,5.79,8.75,,20000320
2000/3/21,5.79,8.75,,20000321
2000/3/22,5.81,8.79,,20000322
2000/3/23,5.81,8.79,,20000323
2000/3/24,5.81,8.79,,20000324
2000/3/25,5.81,8.79,,20000325
2000/3/26,5.81,8.79,,20000326
2000/3/27,5.81,8.79,,20000327
2000/3/28,5.81,8.79,,20000328
2000/3/29,6.01,9,,20000329
2000/3/30,6.01,9,,20000330
2000/3/31,6.01,9,,20000331
2000/4/1,6.01,9,,20000401
2000/4/2,6.01,9,,20000402
2000/4/3,6.01,9,,20000403
2000/4/4,6.01,9,,20000404
2000/4/5,6.12,9,,20000405
2000/4/6,6.12,9,,20000406
2000/4/7,6.12,9,,20000407
2000/4/8,6.12,9,,20000408
2000/4/9,6.12,9,,20000409
2000/4/10,6.12,9,,20000410
2000/4/11,6.12,9,,20000411
2000/4/12,5.98,9,,20000412
2000/4/13,5.98,9,,20000413
2000/4/14,5.98,9,,20000414
2000/4/15,5.98,9,,20000415
2000/4/16,5.98,9,,20000416
2000/4/17,5.98,9,,20000417
2000/4/18,5.98,9,,20000418
2000/4/19,6.04,9,,20000419
2000/4/20,6.04,9,,20000420
2000/4/21,6.04,9,,20000421
2000/4/22,6.04,9,,20000422
2000/4/23,6.04,9,,20000423
2000/4/24,6.04,9,,20000424
2000/4/25,6.04,9,,20000425
2000/4/26,5.97,9,,20000426
2000/4/27,5.97,9,,20000427
2000/4/28,5.97,9,,20000428
2000/4/29,5.97,9,,20000429
2000/4/30,5.97,9,,20000430
2000/5/1,5.97,9,,20000501
2000/5/2,5.97,9,,20000502
2000/5/3,6.06,9,,20000503
2000/5/4,6.06,9,,20000504
2000/5/5,6.06,9,,20000505
2000/5/6,6.06,9,,20000506
2000/5/7,6.06,9,,20000507
2000/5/8,6.06,9,,20000508
2000/5/9,6.06,9,,20000509
2000/5/10,5.96,9,,20000510
2000/5/11,5.96,9,,20000511
2000/5/12,5.96,9,,20000512
2000/5/13,5.96,9,,20000513
2000/5/14,5.96,9,,20000514
2000/5/15,5.96,9,,20000515
2000/5/16,5.96,9,,20000516
2000/5/17,6.16,9.07,,20000517
2000/5/18,6.16,9.07,,20000518
2000/5/19,6.16,9.07,,20000519
2000/5/20,6.16,9.07,,20000520
2000/5/21,6.16,9.07,,20000521
2000/5/22,6.16,9.07,,20000522
2000/5/23,6.16,9.07,,20000523
2000/5/24,6.5,9.5,,20000524
2000/5/25,6.5,9.5,,20000525
2000/5/26,6.5,9.5,,20000526
2000/5/27,6.5,9.5,,20000527
2000/5/28,6.5,9.5,,20000528
2000/5/29,6.5,9.5,,20000529
2000/5/30,6.5,9.5,,20000530
2000/5/31,6.53,9.5,,20000531
2000/6/1,6.53,9.5,,20000601
2000/6/2,6.53,9.5,,20000602
2000/6/3,6.53,9.5,,20000603
2000/6/4,6.53,9.5,,20000604
2000/6/5,6.53,9.5,,20000605
2000/6/6,6.53,9.5,,20000606
2000/6/7,6.49,9.5,,20000607
2000/6/8,6.49,9.5,,20000608
2000/6/9,6.49,9.5,,20000609
2000/6/10,6.49,9.5,,20000610
2000/6/11,6.49,9.5,,20000611
2000/6/12,6.49,9.5,,20000612
2000/6/13,6.49,9.5,,20000613
2000/6/14,6.5,9.5,,20000614
2000/6/15,6.5,9.5,,20000615
2000/6/16,6.5,9.5,,20000616
2000/6/17,6.5,9.5,,20000617
2000/6/18,6.5,9.5,,20000618
2000/6/19,6.5,9.5,,20000619
2000/6/20,6.5,9.5,,20000620
2000/6/21,6.51,9.5,,20000621
2000/6/22,6.51,9.5,,20000622
2000/6/23,6.51,9.5,,20000623
2000/6/24,6.51,9.5,,20000624
2000/6/25,6.51,9.5,,20000625
2000/6/26,6.51,9.5,,20000626
2000/6/27,6.51,9.5,,20000627
2000/6/28,6.53,9.5,,20000628
2000/6/29,6.53,9.5,,20000629
2000/6/30,6.53,9.5,,20000630
2000/7/1,6.53,9.5,,20000701
2000/7/2,6.53,9.5,,20000702
2000/7/3,6.53,9.5,,20000703
2000/7/4,6.53,9.5,,20000704
2000/7/5,6.85,9.5,,20000705
2000/7/6,6.85,9.5,,20000706
2000/7/7,6.85,9.5,,20000707
2000/7/8,6.85,9.5,,20000708
2000/7/9,6.85,9.5,,20000709
2000/7/10,6.85,9.5,,20000710
2000/7/11,6.85,9.5,,20000711
2000/7/12,6.44,9.5,,20000712
2000/7/13,6.44,9.5,,20000713
2000/7/14,6.44,9.5,,20000714
2000/7/15,6.44,9.5,,20000715
2000/7/16,6.44,9.5,,20000716
2000/7/17,6.44,9.5,,20000717
2000/7/18,6.44,9.5,,20000718
2000/7/19,6.5,9.5,,20000719
2000/7/20,6.5,9.5,,20000720
2000/7/21,6.5,9.5,,20000721
2000/7/22,6.5,9.5,,20000722
2000/7/23,6.5,9.5,,20000723
2000/7/24,6.5,9.5,,20000724
2000/7/25,6.5,9.5,,20000725
2000/7/26,6.5,9.5,,20000726
2000/7/27,6.5,9.5,,20000727
2000/7/28,6.5,9.5,,20000728
2000/7/29,6.5,9.5,,20000729
2000/7/30,6.5,9.5,,20000730
2000/7/31,6.5,9.5,,20000731
2000/8/1,6.5,9.5,,20000801
2000/8/2,6.49,9.5,,20000802
2000/8/3,6.49,9.5,,20000803
2000/8/4,6.49,9.5,,20000804
2000/8/5,6.49,9.5,,20000805
2000/8/6,6.49,9.5,,20000806
2000/8/7,6.49,9.5,,20000807
2000/8/8,6.49,9.5,,20000808
2000/8/9,6.45,9.5,,20000809
2000/8/10,6.45,9.5,,20000810
2000/8/11,6.45,9.5,,20000811
2000/8/12,6.45,9.5,,20000812
2000/8/13,6.45,9.5,,20000813
2000/8/14,6.45,9.5,,20000814
2000/8/15,6.45,9.5,,20000815
2000/8/16,6.53,9.5,,20000816
2000/8/17,6.53,9.5,,20000817
2000/8/18,6.53,9.5,,20000818
2000/8/19,6.53,9.5,,20000819
2000/8/20,6.53,9.5,,20000820
2000/8/21,6.53,9.5,,20000821
2000/8/22,6.53,9.5,,20000822
2000/8/23,6.46,9.5,,20000823
2000/8/24,6.46,9.5,,20000824
2000/8/25,6.46,9.5,,20000825
2000/8/26,6.46,9.5,,20000826
2000/8/27,6.46,9.5,,20000827
2000/8/28,6.46,9.5,,20000828
2000/8/29,6.46,9.5,,20000829
2000/8/30,6.54,9.5,,20000830
2000/8/31,6.54,9.5,,20000831
2000/9/1,6.54,9.5,,20000901
2000/9/2,6.54,9.5,,20000902
2000/9/3,6.54,9.5,,20000903
2000/9/4,6.54,9.5,,20000904
2000/9/5,6.54,9.5,,20000905
2000/9/6,6.56,9.5,,20000906
2000/9/7,6.56,9.5,,20000907
2000/9/8,6.56,9.5,,20000908
2000/9/9,6.56,9.5,,20000909
2000/9/10,6.56,9.5,,20000910
2000/9/11,6.56,9.5,,20000911
2000/9/12,6.56,9.5,,20000912
2000/9/13,6.5,9.5,,20000913
2000/9/14,6.5,9.5,,20000914
2000/9/15,6.5,9.5,,20000915
2000/9/16,6.5,9.5,,20000916
2000/9/17,6.5,9.5,,20000917
2000/9/18,6.5,9.5,,20000918
2000/9/19,6.5,9.5,,20000919
2000/9/20,6.5,9.5,,20000920
2000/9/21,6.5,9.5,,20000921
2000/9/22,6.5,9.5,,20000922
2000/9/23,6.5,9.5,,20000923
2000/9/24,6.5,9.5,,20000924
2000/9/25,6.5,9.5,,20000925
2000/9/26,6.5,9.5,,20000926
2000/9/27,6.5,9.5,,20000927
2000/9/28,6.5,9.5,,20000928
2000/9/29,6.5,9.5,,20000929
2000/9/30,6.5,9.5,,20000930
2000/10/1,6.5,9.5,,20001001
2000/10/2,6.5,9.5,,20001002
2000/10/3,6.5,9.5,,20001003
2000/10/4,6.58,9.5,,20001004
2000/10/5,6.58,9.5,,20001005
2000/10/6,6.58,9.5,,20001006
2000/10/7,6.58,9.5,,20001007
